entry_time,symbol,timeframe,zone_id,action,entry_price,exit_time,exit_price,exit_reason,pnl_pips,duration_minutes,zone_strength,validation_reason
2025-06-04T01:33:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88664,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T01:44:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88663,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T02:50:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88662,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T02:53:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88662,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T02:54:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88661,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T02:57:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88662,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T02:58:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88661,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T03:00:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88662,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T03:06:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88663,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T03:09:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88661,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T03:51:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88665,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T03:52:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88663,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T03:59:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88664,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T04:14:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88663,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T06:32:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88662,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T06:55:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88662,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T07:17:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88664,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
2025-06-04T08:12:00+00:00,AUDCAD,30m,52120f228ebc2d3a,BUY,0.88661,,,VALIDATION_FAILED,,,90.0,Symbol AUDCAD not in allowed list
